epoch;train_loss;val_loss;mean_dice;learning_rate;best_val_loss;improvement;epochs_without_improvement;saved_checkpoint
1;1.629862;1.017861;0.199655;0.0001;1.017861;0.0;0;1
2;0.731109;0.877373;0.395235;0.0001;0.877373;0.140488;0;1
3;0.566497;0.828046;0.466237;0.0001;0.828046;0.049326;0;1
4;0.501954;0.818796;0.52379;0.0001;0.818796;0.009251;0;1
5;0.460783;0.807448;0.537884;0.0001;0.807448;0.011348;0;1
6;0.44187;0.801314;0.571733;0.0001;0.801314;0.006135;0;1
7;0.423994;0.798008;0.574089;0.0001;0.798008;0.003306;0;1
8;0.412916;0.793097;0.576263;0.0001;0.793097;0.004911;0;1
9;0.399474;0.795565;0.598532;0.0001;0.793097;-0.002468;1;0
10;0.391444;0.789847;0.592661;0.0001;0.789847;0.00325;0;1
11;0.383775;0.790725;0.610162;0.0001;0.789847;-0.000877;1;0
12;0.378175;0.789209;0.606946;0.0001;0.789847;0.000638;2;0
13;0.374358;0.786352;0.626875;0.0001;0.786352;0.003495;0;1
14;0.36765;0.784419;0.617302;0.0001;0.784419;0.001933;0;1
15;0.365197;0.784033;0.605917;0.0001;0.784419;0.000386;1;0
16;0.359845;0.783763;0.626227;0.0001;0.784419;0.000656;2;0
17;0.358823;0.78371;0.623374;0.0001;0.784419;0.00071;3;0
18;0.353671;0.790006;0.645042;0.0001;0.784419;-0.005587;4;0
19;0.350898;0.793746;0.617841;0.0001;0.784419;-0.009327;5;0
20;0.348319;0.783533;0.628621;0.0001;0.784419;0.000886;6;0
21;0.343962;0.783816;0.659404;0.0001;0.784419;0.000603;7;0
22;0.341796;0.781807;0.639373;0.0001;0.781807;0.002612;0;1
23;0.338464;0.740545;0.607542;0.0001;0.740545;0.041262;0;1
24;0.33048;0.734689;0.615068;0.0001;0.734689;0.005857;0;1
25;0.325157;0.692232;0.616232;0.0001;0.692232;0.042457;0;1
26;0.309956;0.683577;0.628437;0.0001;0.683577;0.008656;0;1
27;0.304852;0.688191;0.607287;0.0001;0.683577;-0.004614;1;0
28;0.310399;0.688372;0.606796;0.0001;0.683577;-0.004796;2;0
29;0.303249;0.67861;0.639858;0.0001;0.67861;0.004967;0;1
30;0.299325;0.68566;0.601932;0.0001;0.67861;-0.007051;1;0
31;0.296362;0.68268;0.647898;0.0001;0.67861;-0.004071;2;0
32;0.295982;0.677217;0.62018;0.0001;0.677217;0.001392;0;1
33;0.294897;0.676604;0.652472;0.0001;0.677217;0.000613;1;0
34;0.294746;0.675149;0.655448;0.0001;0.675149;0.002069;0;1
